Actor1Geo_CountryCode,Count
BS,2
GO,4
JU,4
EU,5
CR,6
IP,11
HM,13
KQ,21
TE,24
BQ,24
MQ,30
FQ,39
WF,48
BV,52
DQ,54
LQ,87
JN,97
JQ,176
SB,473
HQ,542
WQ,721
NF,1678
IO,1961
NT,2010
TK,2557
PF,2837
TL,3188
MF,3225
PC,3703
RN,4063
FK,4292
IM,5259
PG,5585
NE,7319
FO,7651
AN,7703
SM,7810
SV,8678
GP,9058
FG,10253
MB,10427
TV,15520
SC,16345
AV,18105
TP,19123
KT,19623
LS,20185
SH,20661
AQ,20994
FP,21446
RE,21503
NC,22227
VI,22879
CV,27850
KR,28950
AA,30748
CW,34860
PS,35185
CN,36432
NS,36465
VC,37629
MH,40920
ST,42078
DO,42294
GK,44628
VQ,45480
WI,47420
AY,50039
RM,51754
NH,65490
YI,67352
PU,67532
AC,69100
GL,69245
EK,69951
NR,70189
MN,70486
MC,77016
GI,78443
TN,79863
BP,88243
CJ,93042
OC,96526
GB,97346
MJ,103497
MP,120800
TO,126043
MA,127772
LT,135697
WS,136919
PA,141025
MR,153009
VT,154453
KV,164441
UY,164793
WZ,165273
SI,168982
BT,173277
GQ,180813
TT,183512
BB,186164
UV,188674
FM,191757
BN,198512
DJ,204216
GJ,204733
MG,208800
MV,216563
BD,220568
IC,222743
LU,231388
DR,237353
OS,241468
PP,246455
CT,249512
GV,250178
BH,257455
CS,271728
MD,277532
ER,280346
TX,299184
LA,304208
BL,305499
SE,310095
SG,314959
GY,319572
CF,338171
EN,341232
NG,347410
LG,349906
IV,351005
CG,351651
BY,363801
NU,371011
ES,385558
BC,387089
HO,387911
TD,391896
LO,394806
CM,400471
GA,404214
EC,408452
BX,411121
GT,411426
LH,418407
MZ,420301
JE,421806
BK,426894
CD,444977
MU,464342
UZ,466510
TI,470271
OD,478018
MI,480760
ML,485611
PM,488716
GZ,498294
KG,503197
SL,504601
CQ,506834
MK,515850
BF,516929
RQ,524012
WA,595053
GG,596647
FI,620719
MT,629869
FJ,634730
RI,647081
AO,693183
KZ,693267
HK,715504
MO,727175
PO,731651
AL,740382
HA,768615
LI,770797
AG,777778
TZ,778116
CY,778282
CI,779660
TS,781700
HR,812061
BA,813472
PE,822727
JM,865607
DA,869606
BO,876953
RW,947439
KU,949714
RO,965141
HU,992655
RB,995789
EZ,1004888
AR,1022595
CB,1065384
BU,1065742
NO,1066824
ZA,1082652
AU,1141189
WE,1175151
QA,1201639
ET,1211646
BM,1272356
NP,1351992
CO,1356830
VE,1367941
SW,1376254
AJ,1478522
SN,1500315
AM,1538818
TW,1555782
AE,1687783
NL,1753008
PL,1815987
YM,1816634
BR,1866915
JO,1888175
CU,1902389
SO,1940899
SZ,1974342
BE,2020369
UG,2035181
ZI,2202027
CE,2223388
SU,2328953
GH,2379048
LY,2424712
GR,2477599
NZ,2527948
VM,2535911
BG,2586121
TH,2606300
KN,2686677
LE,2876985
SP,2966204
UP,3266252
ID,3326718
KS,3354826
KE,3404049
MY,3481966
MX,3703185
EI,3806272
SA,4061594
IT,4204553
EG,5411494
JA,5903471
RP,5985832
SF,6364380
AF,6754049
GM,6767630
TU,6936441
IZ,7616834
SY,8315078
FR,8961607
IR,9043528
NI,10384085
CA,10889113
PK,11366311
AS,11410058
IS,13971167
CH,15009945
RS,15688602
IN,16712526
UK,21896998
,67094034
US,152238460
